"Task ID","Issue Type","Summary","Epic Link","Phase","Status","Priority","Story Points","Depends On","Affected Files","Description / Acceptance Criteria","Components","Labels"
"","Epic","Invite-based user onboarding (Platform / Tenant)","","","In Progress","Highest","","","database/schema.sql, services/config/**, admin-ui/**","Replace the temp-password POST /users flow with an invite-based onboarding path covering platform (superadmin) and tenant (admin) levels, widen roles to supervisor/agent, and add case-insensitive email uniqueness. Source: .sdlc/user-onboarding-hierarchy/03-tasks.md","config-service, admin-ui, database","onboarding invites rbac"
"T1","Task","Widen users_role_check to include supervisor/agent and add users.team","Invite-based user onboarding (Platform / Tenant)","Phase 1: Schema","Done","High","2","","database/schema.sql","psql -f database/schema.sql run twice in a row against a seeded dev DB both succeed with no error, and INSERT INTO users (..., role) VALUES (..., 'supervisor') succeeds while role='bogus' still fails the CHECK.","database","onboarding schema"
"T2","Task","Drop the case-sensitive users_email_key constraint","Invite-based user onboarding (Platform / Tenant)","Phase 1: Schema","Done","High","1","T1","database/schema.sql","Applying the file leaves \d users showing no users_email_key, and inserting two live rows differing only in case succeeds (proving the old constraint is gone) before the next step re-guards it.","database","onboarding schema"
"T3","Task","Add guarded lower-casing email backfill with collision detection","Invite-based user onboarding (Platform / Tenant)","Phase 1: Schema","Done","High","3","T2","database/schema.sql","A test seeding Bob@x.com and bob@x.com as live rows makes schema.sql raise the named exception and leaves the table unmodified (lesson 5), and a fixture with only one of them applies cleanly with the row lower-cased.","database","onboarding schema"
"T4","Task","Add partial unique index users_email_lower_idx on lower(email) WHERE deleted_at IS NULL","Invite-based user onboarding (Platform / Tenant)","Phase 1: Schema","Done","High","2","T3","database/schema.sql","Two soft-deleted rows sharing a lower-cased address are allowed, a second live row at that address is rejected, and re-running schema.sql is a no-op (CREATE UNIQUE INDEX IF NOT EXISTS).","database","onboarding schema"
"T5","Task","Create user_invites table plus its two indexes","Invite-based user onboarding (Platform / Tenant)","Phase 1: Schema","Done","High","3","T4","database/schema.sql","schema.sql applied twice is a no-op both times; two pending invites for the same email in the same tenant collide with UniqueViolationError; two pending invites for the same email in DIFFERENT tenants both insert successfully (lesson 3 — scope check). Indexes: user_invites_pending_email_idx scoped per-tenant via COALESCE(tenant_id, '00000...'), and user_invites_tenant_idx.","database","onboarding schema"
"T6","Task","Split get_current_user into get_authenticated_user and a console-gated get_current_user","Invite-based user onboarding (Platform / Tenant)","Phase 2: Backend core (identity, permissions, tokens)","To Do","Highest","3","T1","services/config/deps.py, services/config/routers/auth.py","Introduce CONSOLE_ROLES = frozenset({'superadmin','admin','viewer'}); switch routers/auth.py's /auth/me and /auth/change-password to Depends(get_authenticated_user). Done when: a supervisor and an agent JWT get 403 from GET /users, /provider-configs, /carriers, /calls, /audit-log, but 200/204 from /auth/me and /auth/change-password; a viewer JWT (including is_service_account=true, tenant_id=None) still gets 200 on those reads; unauthenticated GET /health, /auth/setup-status, POST /auth/login, POST /auth/bootstrap all still reach their handlers with no 401/403 from the gate; and a test enumerates every route in the app and asserts exactly two depend on get_authenticated_user. Scope this tripwire test to route enumeration driven off the shared deps module rather than a Config-app-only assumption, since Knowledge/DID/Campaigns import this same module (lesson 9).","config-service","onboarding rbac backend"
"T7","Task","Add may_invite() privilege-escalation guard","Invite-based user onboarding (Platform / Tenant)","Phase 2: Backend core (identity, permissions, tokens)","To Do","Highest","3","T1","services/config/invites.py (new)","Signature: may_invite(*, actor_role, actor_tenant_id, target_role, target_tenant_id) -> bool. Done when the privilege-escalation matrix test passes: tenant_admin->superadmin denied (AC2); tenant_admin->any role with tenant_id != actor's, including tenant_id=None, denied (AC3); tenant_admin->{tenant_admin,supervisor,agent,viewer} in own tenant allowed (AC4); superadmin->tenant_admin anywhere and ->superadmin allowed; supervisor/agent as actor denied for every target; and every role in users_role_check is explicitly classified as console or non-console by a companion assertion.","config-service","onboarding rbac backend"
"T8","Task","Add _new_token() invite token generator (urlsafe + sha256)","Invite-based user onboarding (Platform / Tenant)","Phase 2: Backend core (identity, permissions, tokens)","To Do","High","1","","services/config/invites.py","_new_token() = secrets.token_urlsafe(32) -> (raw, sha256_hex). Done when: a test asserts the raw token is >=43 chars, 1000 calls produce zero hash collisions, and the raw value never appears in any log record, response body or audit_log row produced elsewhere in the suite.","config-service","onboarding rbac backend"
"T9","Task","Add create_invite, resend_invite, revoke_invite with tenant-blind conflict handling","Invite-based user onboarding (Platform / Tenant)","Phase 2: Backend core (identity, permissions, tokens)","To Do","Highest","5","T5, T7, T8","services/config/invites.py","Each calls may_invite with the STORED row's role/tenant for resend/revoke, 404 first if the row is absent; plus the tenant-scoped conflict check (409 flat string for tenant_admin, tenant-naming 409 for super_admin) and the UniqueViolationError->409 mapping for a concurrent double-send. Done when: a tenant_admin inviting an email that exists in another tenant gets exactly {""detail"": ""this email cannot be invited""} with no tenant slug/name/id in the body, byte-identical to the response for an email with a pending invite in the actor's own tenant; the same request as super_admin names the tenant; and a tenant_admin resend/revoke of a Tenant B invite id, or of a superadmin invite, returns 403 (IDOR test, AC2/AC3 replayed against stored rows). create_invite returns the row and raw token only — email delivery is invoked by the router in Phase 3, not here.","config-service","onboarding rbac backend"
